unitid,weightedEnrollment,totalEnrollment,locale,InstControl,cbsatype,TotalRate,UGaidrate,FallNonResRate,FallResRate,FallDistRate,ResCost,NonResCost,AvgSalary,TotalStaff,SalariesPaid,staffperstu
446233,-751.8655721,35,4,Private not-for-profit,1,17.14,98.43,,,,15000,15000,10504.857143,7,73534,0.2
456959,-698.8655721,88,1,Public,1,46.59,73.89,,100,,12376,12376,66643.947368,38,2532470,0.43
475608,-779.8655721,7,1,Private not-for-profit,1,57.14,79.75,,,,11880,11880,61250,1,61250,0.14
482149,-7.865572088,779,1,Public,1,50.19,91.49,6.19,93.81,,6892,22270,71235.053498,243,17310118,0.31
482158,-107.8655721,679,1,Public,1,27.69,89.43,5.53,94.47,,2728,10075,60178.27381,252,15164925,0.37
482228,-780.8655721,6,4,Private not-for-profit,1,50,39.01,,,,7176,7176,16000,1,16000,0.17
482680,880.13442791,1667,3,Public,3,48.11,79.79,2.84,97.16,,4120,14621,62320.698671,677,42191113,0.41
482936,-394.8655721,392,4,Public,1,55.61,91.55,3.57,96.43,,3152,3152,87225.217391,69,6018540,0.18
483018,-730.8655721,56,3,Private not-for-profit,1,32.14,100,,,,35604,35604,61371.2,15,920568,0.27
483124,-587.8655721,199,1,Public,1,26.13,75.02,,,,10710,12984,90162.716284,1001,90252879,5.03
484473,-752.8655721,34,1,Public,1,44.12,55.32,9,91,,3358,15000,64065.2,15,960978,0.44
484613,3845.1344279,4632,1,Private for-profit,1,8.87,62.34,,,,9552,9552,83792.846154,13,1089307,0
484844,-698.8655721,88,1,Private not-for-profit,1,80.68,66.18,,,,14450,14450,106274.125,40,4250965,0.45
484905,-572.8655721,214,1,Public,1,36.92,69,0.38,99.62,,7840,20080,79818.619048,126,10057146,0.59
485768,-718.8655721,68,1,Private for-profit,1,77.94,90.23,,,,9840,9840,26520.3125,16,424325,0.24
486840,4092.1344279,4879,2,Public,1,48.58,86.5,2.84,97.16,,4450,15704,73731.375622,1206,88920039,0.25
